year,hurricane_count,orlando_temp,orlando_rain,enso,amo,atlantic_sst,gulf_sst,wind_shear,bermuda_high,fl_steering,upper_flow,ridge_pos
2012,0,23.02,104.44,0.653,0.32,27.896,28.485,11.39,1.125,0.109,3.057,4.143
2013,0,23.26,108.57,0.112,0.172,27.802,28.44,13.182,0.873,-0.802,4.546,4.683
2014,1,22.86,140.74,0.668,0.192,27.548,28.515,13.934,1.591,-0.067,5.321,4.837
2015,0,24.15,137.43,2.373,0.169,27.78,28.801,14.595,0.92,-0.671,6.467,4.145
2016,2,23.41,138.01,-0.13,0.399,27.889,29.229,12.042,-0.145,-1.534,3.311,4.335
2017,1,23.37,118.5,0.142,0.32,28.049,28.839,12.191,1.386,-1.118,3.621,4.411
2018,1,23.3,131.04,0.82,0.028,27.263,28.945,14.04,0.035,-1.052,5.834,4.331
2019,1,23.98,121.97,0.71,0.207,27.661,29.056,11.644,0.216,-0.487,3.602,4.616
2020,2,24.09,135.26,-0.393,0.286,28.005,28.769,11.167,-0.147,-1.886,2.456,4.177
2021,2,23.71,117.4,-0.21,0.319,27.717,28.565,11.972,0.929,-0.452,3.963,4.544
2022,2,24.02,157.35,-0.498,0.353,27.779,28.794,12.621,1.064,-1.015,4,4.322
2023,1,24.21,133.18,1.823,0.013338028,28.764,29.382,10.288,1.414,0.781,2.476,4.211
2024,3,24.23,133.18,-0.3,0.35,28.777,29.395,10.288,0.173,-0.688,0.607,3.997
2025,0,24.25,133.18,0.5,0.3,28.79,29.408,10.288,1.264,-0.252,3.389,4.403
